speaker	original	traduit
1	okay_confirm (okay) situation_handled (tell me about a situation that you wish you had handled differently)	OK_confirmer (OKY) situation_handled (renseignez-moi sur une situation que vous souhaitez avoir traitée différemment)
2	maybe being on the freeway and taking the wrong exit <laughter>	Peut-être être sur l'autoroute et prendre la mauvaise sortie <rire>
1	wild_laughter3 ((laughter))	wild_river3 ((rire))
2	i would've probably paid attention to uh my uh probably g_p_s or not being over confident	J'aurais probablement fait attention à mes g_p_s ou à ne pas avoir confiance en moi.
1	see_mean (i see what you mean) hard_decisionB (tell me about the hardest decision you've ever had to make)	voir_moyen (je vois ce que vous voulez dire) hard_decisionB (dis-moi la décision la plus difficile que tu aies jamais eue à prendre)
2	hardest decision i ever had to make uh i guess moving back from europe to l_a  coming back home <laughter> i miss my friends	La décision la plus dure que j'aie jamais eu à faire, je suppose qu'il faut retourner d'Europe à l_a pour revenir à la maison <rires> Mes amis me manquent
1	change_directions (what made you decide to do that)	changement_directions (ce qui vous a fait décider de faire cela)
2	it was time to come back i had done my schooling and it was time to come back home see my parents and join my family	Il était temps de revenir j'avais fait mes études et il était temps de revenir à la maison voir mes parents et rejoindre ma famille
1	family_relationship (tell me about your relationship with your family)	family_relationship (parlez-moi de votre relation avec votre famille)
2	i love my family they're the core of my life i have a nephew he's uh six years old and he's the love of my life love them all	J'aime ma famille ils sont le noyau de ma vie J'ai un neveu il a uh six ans et il est l'amour de ma vie les aiment tous
1	good_hear (that's so good to hear) influence_positive (who's someone that's been a positive influence in your life)	good_hear (c'est si bon à entendre) influence_positive (qui est quelqu'un qui a été une influence positive dans votre vie)
2	my teachers uh my parents and definitely my mentors	mes professeurs uh mes parents et certainement mes mentors
1	okay_confirm (okay) memory_erase (tell me about an event or something that you wish you could erase from your memory)	OK_confirmer (OKY) memory_erase (dis-moi un événement ou quelque chose que tu souhaites pouvoir effacer de ta mémoire)
2	well i don't think i have anything that bad that i want to erase from my memory um i can't think of any sorry <laughter>	Eh bien, je ne pense pas avoir quelque chose de si mauvais que je veux effacer de ma mémoire um je ne peux pas penser à aucun désolé <rire>
1	okay_confirm (okay) feelguilty (what's something you feel guilty about)	OK_confirmer (OKY) se sentir coupable (de quoi vous vous sentez coupable)
2	guilty about i don't think i have anything to feel guilty about however sometimes i feel guilty when i eat a lot of cookies 'cause that is not good for my health <laughter>	Je ne pense pas que j'ai quelque chose à me sentir coupable, mais parfois je me sens coupable quand je mange beaucoup de cookies parce que ce n'est pas bon pour ma santé <rire>
1	okay_confirm (okay) easy_sleep (how easy is it for you to get a good night's sleep)	okay_confirmer (OKY) easy_sleep (comment est-il facile pour vous d'avoir une bonne nuit de sommeil)
2	very easy i sleep like a baby once i hit the bed <laughter>	très facile je dors comme un bébé une fois que j'ai frappé le lit <rire>
1	thats_good (that's good) feel_lately (how have you been feeling lately)	thats_good (c'est bien) feel_latly (comment vous vous sentez récemment)
2	i've been feeling good	Je me sens bien.
1	behavior_changes (have you noticed any changes in your behavior or thoughts lately)	comportement_changements (avez-vous remarqué tout changement dans votre comportement ou vos pensées dernièrement)
2	no	Non, je ne suis pas d'accord.
1	okay_confirm (okay) happy_lasttime (tell me about the last time you felt really happy)	OK_confirmer (OKY) happy_lasttime (renseignez-moi la dernière fois que vous vous sentez vraiment heureux)
2	i felt really happy about two months ago i went to a friend's birthday she celebrated in a casino by a city away from los angeles san bernadino and i was playing with a twenty five cents with quarters and i won like seventy five dollars in the machine so that was very cool <laughter>	Je me sentais vraiment heureux il y a deux mois je suis allé à l'anniversaire d'un ami qu'elle a célébré dans un casino par une ville loin de los anges san bernadino et je jouais avec un vingt-cinq cents avec des quartiers et j'ai gagné comme soixante-quinze dollars dans la machine donc c'était très cool <rire>
1	nice (nice) BF_describe (how would your best friend describe you)	gentil (bien) BF_description (comment votre meilleur ami vous décrirait-il)
2	uh outgoing always planning something exciting to do um very outspoken	uh sortant planifie toujours quelque chose d'excitant à faire um très franc-parler
1	regret (is there anything you regret)	regret (y a-t-il quelque chose que vous regrettez)
2	mm not that i know of no	Pas que je sache de non
1	advice_back (what advice would you give to yourself ten or twenty years ago)	conseil_back (quel conseil donneriez-vous il y a dix ou vingt ans)
2	oh always do what you want to do life is short and um always keep on learning	oh toujours faire ce que vous voulez faire la vie est courte et um toujours continuer à apprendre
1	self_change (what are some things you wish you could change about yourself)	auto_changement (quelles sont certaines choses que vous souhaitez changer à propos de vous-même)
2	uh i want to lose two more pounds	Je veux perdre deux kilos de plus.
1	okay_confirm (okay) feelbadly (tell me about a time when someone made you feel really badly about yourself)	OK_confirmer (OKY) se sent mal (renseignez-moi à propos d'un moment où quelqu'un vous a fait vous sentir vraiment mal à propos de vous-même)
2	i i've been very very blessed i've never really felt anyone make me feel bad and i usually interact well with everyone i meet and i'm very blessed to have everyone be nice to me	J'ai été très béni je n'ai jamais vraiment senti quelqu'un me faire me sentir mal et d'habitude j'interagit bien avec tout le monde que je rencontre et je suis très béni d'avoir tout le monde être gentil avec moi
1	thats_great (that's great) Ellie17Dec2012_07 (what would you say are some of your best qualities)	thats_great (c'est génial) Ellie17Dec2012_07 (que diriez-vous de certaines de vos meilleures qualités)
2	i'm a great listener uh i spend quality time with my friends and family uh not quantity necessarily but quality time and i'm very supportive and i love to pretty much listen listen and listen sometimes that's all people need	Je suis un grand auditeur uh je passe du temps de qualité avec mes amis et ma famille uh pas nécessairement quantité mais du temps de qualité et je suis très solidaire et j'aime écouter et écouter parfois c'est tout ce dont les gens ont besoin
1	mhm (mhm) study (what did you study at school)	mhm (mhm) étude (qu'avez-vous étudié à l'école)
2	i went to school um i have two degrees um business management um uh degree and also i have a language degree	Je suis allé à l'école um j'ai deux diplômes um gestion d'entreprise um uh diplôme et aussi j'ai un diplôme de langue
1	sounds_interesting (that sounds interesting) hard_decision (how did you decide to do that)	sons_intéressants (qui sonne intéressant) hard_decision (comment avez-vous décidé de faire cela)
2	i learned languages when i was very little uh had the opportunity to travel and it was easier for me to keep on learning languages and uh the business part i enjoy interacting with people creating um new ideas uh innovating so i believe that's where my interested in uh business came from mhm	J'ai appris les langues quand j'étais très peu uh a eu l'occasion de voyager et il était plus facile pour moi de continuer à apprendre les langues et euh la partie d'affaires j'aime interagir avec les gens créant um nouvelles idées uh innovant donc je pense que c'est là que mon intérêt pour les affaires uh vient de mhm
1	mhm (mhm) still_working_on_X (are you still working in that)	mhm (mhm) still_working_on_X (vous travaillez toujours dans ce domaine)
2	yes i am	Oui, je le suis.
1	dream_job (what's your dream job)	Rêve_job (quel est votre travail de rêve)
2	<laughter> my dream job one that wouldn't have probably challenges every day uh one that i could uh i don't know i'd just come to the office and everybody and everything would be perfect but uh it's not real so uh i think one of the main things about having a a job is enjoying those challenges	Mon travail de rêve qui n'aurait pas probablement des défis tous les jours que je pourrais euh je ne sais pas que je viendrais juste au bureau et tout le monde et tout serait parfait mais euh ce n'est pas réel donc euh je pense que l'une des principales choses à propos d'avoir un travail est de profiter de ces défis
1	yeah_downer (yeah) Ellie17Dec2012_08 (what are you most proud of in your life)	yeah_downer (yeah) Ellie17Dec2012_08 (de quoi êtes-vous le plus fier dans votre vie)
2	very proud of myself uh my accomplishments and i'm also very proud of my family and my friends and how they have uh uh achieved and overcome their obstacles	très fier de moi-même uh mes réalisations et je suis aussi très fier de ma famille et mes amis et comment ils ont uh uh et surmonter leurs obstacles
1	give_example (can you give me an example of that)	give_exemple (pourriez-vous me donner un exemple de cela)
2	um sure i have a friend of mine who is now in new york state university she had quite some challenges trying to get there and funding her education and now she is um uh not only in the school but she hosts has acquired uh some funding for her education through a lot of writing letters and petitions and things she did in order to conquer her dream to be in school so very proud of her	J'ai une amie qui est maintenant à l'université d'État de New York, elle a eu des défis à relever pour y arriver et financer son éducation et maintenant elle est non seulement à l'école, mais elle a obtenu des fonds pour son éducation en écrivant beaucoup de lettres et de pétitions et des choses qu'elle a faites pour conquérir son rêve d'être à l'école si fière d'elle.
1	thats_great (that's great) asked_everything (okay i think i have asked everything i need to) appreciate_open (thanks for sharing your thoughts with me)	thats_gros (c'est génial) demande_tout ( ok, je pense que j'ai demandé tout ce que j'ai besoin de) apprécie_ouvrir (merci de partager vos pensées avec moi)
2	thank you	Je vous remercie.
1	bye (goodbye)	Au revoir.
2	goodbye	Au revoir.
